name,ages,errors,site,lat,lon,group average,group std_dev,group std_error,x_3413,y_3413
KN09-09,7811,210,KEGM3,67.0446,-50.5352,7811,,,-242991.1731408579,-2507412.41644286
KN09-09,7811,210,KEGM3,67.0446,-50.5352,8798,,,-242991.1731408579,-2507412.41644286
GRE-11,8798,1240,KEGM3,67.429,-50.211,7811,,,-224870.2983807018,-2465663.9291417976
GRE-11,8798,1240,KEGM3,67.429,-50.211,8798,,,-224870.2983807018,-2465663.9291417976
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11194,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12071,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11408,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11753,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12381,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12212,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,10851,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12402,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11078,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11912,,,692324.6834859576,-1892320.4788033771
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11194,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12071,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11408,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11753,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12381,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12212,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,10851,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12402,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11078,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11912,,,693296.3294104323,-1893212.6658914788
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11194,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12071,,,698032.5976743738,-1898649.996770141
